"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"04a802674683d317a8c7484ce2407ce0","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-003",NA
"04e9151eebd435f26965d2a465f88599","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira",NA
"0d6bce2909152ecd402d6905c94ac4e9","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_rumen"
"23fed68c6c76ab10ba1be8a43e9176e7","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA
"2d34c22edce4b1f2d8a5228ad78f8ea8","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter",NA
"33d591dd6da939cd5ffa983ad2b49280","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Massiliprevotella_massiliensis"
"351c1c41eb96b3ed2975bfe7f01eb9d7","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"3cc6cc9dfd4acb48c522fd2e6b28c2fb","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism"
"464a52deb6e8c4e2b57d980a8d18f04c","d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Romboutsia",NA
"470dd02996e31255357eeeaa3672b469","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
"4be5ec3f2050a6bc7db8d4b18e74afc5","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"4bf3198c78397be5af0b7325d20558de","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"51dd453b71a4aba20d9f349601ea5203","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"57fff35c458e13113cdc2ea0c23b8044","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA
"630d8e372572297a7a42316da8a19ead","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__Sutterellaceae_bacterium"
