"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"16cfd43bfd05490323335808a17688de","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio",NA
"1dc7907fcf2ce8955a6f6ac56b96fca0","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotellaceae_bacterium"
"2ea35c2aa510ab4f9fbc93c8e65bdd51","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Succinivibrio","s__uncultured_rumen"
"5610b04f19aaac78ac2469a3feb707e9","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_eligens_group",NA
"6a0bbfe5241c80e0f4e91b06fe4715c7","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_1",NA
"718b2235c59b41d062fcbe093f4ed038","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"83b41a7133e4adfd81be556395da2bb9","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-003","s__uncultured_bacterium"
"9fce5b2495f5dac68c30e003e91e7361","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__Sutterellaceae_bacterium"
"b677c6c95bbf603529595ed92876ef37","d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella",NA
"dad9c1aff4e6d7faab64199863616bc7","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotellaceae_bacterium"
"dff390a58455e2599a43c5e400a35518","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_rumen"
"e52bad5593b9c105333adb4009a4fc74","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__uncultured_organism"
"ead7bf51918cf5598294e55aaaf58c19","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__metagenome"
"f0111bac5234f907953885881c7e241c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
