"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"33d591dd6da939cd5ffa983ad2b49280","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Massiliprevotella_massiliensis"
"5046b79b7267f5bb60cd4edb52fbe34f","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014","s__gut_metagenome"
"630d8e372572297a7a42316da8a19ead","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__Sutterellaceae_bacterium"
"6a6fcf8f9b8bb1ab9e5f8456ee7fb109","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group",NA
"7859f0d526ad56fb4d8383d136b3bae6","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__metagenome"
"83b41a7133e4adfd81be556395da2bb9","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-003","s__uncultured_bacterium"
"9fce5b2495f5dac68c30e003e91e7361","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__Sutterellaceae_bacterium"
"a070c2e394db428a514dfa385c502b8e","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA
"a1a300c872047a7d8b6b294b17cfb63b","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__uncultured_organism"
"a231814083060142816974207844eff2","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_shahii"
"d8df0466c10e2730eb748c9a937d49a0","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_Ruminococcaceae"
"dc2721103659fe9f1d3ead56a11df243","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA
"dff390a58455e2599a43c5e400a35518","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_rumen"
"e52bad5593b9c105333adb4009a4fc74","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__uncultured_organism"
"e7a23b2ba274773c7b5bf7994c883c9a","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella","s__uncultured_bacterium"
"eca8c0c9eb78c42c73852968a67ae7f1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism"
"f95cab37fba4160de15015f4d520839f","d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelotrichaceae_UCG-003",NA
"fc2eeb02cc0e0e7f598b88912ae6c891","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__metagenome"
