"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species"
"0088553fbbbf2fbc8918ad224557d65c","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA
"03af966ff07ddef2b87da992b85b600b","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"10541b6401f0ea0b38e3fcd6265d3c86","d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__uncultured_bacterium"
"14f9cc8ecdda2728b7966b31a87b17a4","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__uncultured_Roseburia"
"30dd9fd45122f82c12b166a042d1eaf9","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_eggerthii"
"3cfa76e0da34a56a641ca33770efb588","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_eligens_group",NA
"3ea67969a01ec419ec1d4784d379ad1d","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter",NA
"53ee2a5c83806c73f3e5419690ac4241","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__Coprococcus_eutactus"
"5658ec7be5170db093c841fc74e8635e","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium"
"5c82dc47435864e490625ae01151570e","d__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus",NA
"5f2d589aeca05cfa41265dd5e23603b4","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA
"7082034a5eec4c381d09cd380594242e","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__Ruminococcus_sp."
"79bdd1b666f32bea849295d02c3c1494","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__[Eubacterium]_siraeum"
"8468e308e3ff23c41059c416ba2b2676","d__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__uncultured_Veillonellaceae"
"8e90ac2f0df6304022cff8cd278f8218","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira",NA
"8f131eee7dee47756b211b843cf274ea","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__gut_metagenome"
"a7a1a93ecfcef4cb45b42307a4fa3bca","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_vulgatus"
"b20c095fd654b84cebdbfe4faa0a1409","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAG-56","s__uncultured_bacterium"
"c1e6a3b26cc7d12c8f7e22ebb092e001","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA
"d276e683f00aadfd097c1a0d7439c487","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-008","s__uncultured_organism"
"e17d964cd0fd8c2ddbd1dacfa8b536e3","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_merdae"
"e1fb117817f9dbbf318b1345342e8fb3","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_flavefaciens"
"eb61cae65bc6cdd2440323bbf603ba5c","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA
"ee94b042fce1e0d75af093d7d1b1d340","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_bicirculans"
"f9dbac64aa8ab140fb3e75ddf907051e","d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__uncultured_bacterium"
"faebf7aa9e3c2906d9f3dc8922dc0e8c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_sp."
